StudentID,SpendHours,CountryLive,Gender,AgeRange,EducationLevel,InitialExpectID,InitialExpectValue,EndExpectID,EndExpectValue
25a70107a0374e91446a549c80b0f240514eb80f,1 a 2 horas,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
b0e60e9a63de54b86f57f30a8626980d6034fd4d,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
3fc63165f4fee1abd02ba568277cb678bca32407,5 a 6 horas,N/C,N/C,N/C,N/C,4,Muy buena,5,Excelente
f346c5c2e8903f1f85fd8705c8057fcf35908ab8,3 a 4 horass,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
822e8c7624006d25f0851713a31db02d100f5450,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
1a9b90555eb9d925c4a4df592b0a2da25568e037,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
3fb80dde8efa48d47cc64529f077212f4f8988a5,7 a 8 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
9707153934bd2759e8846ae7a4017110211e30c5,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
302aa43dcdc8db20fc5a1217972e52efac2a3627,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
22f13e48f7329bd82c86f8d9ba9a69672ba80268,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
c2b4cc3ef3198695ae1ba7645bd5f1c2837386da,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
18ccda7de709e42406eab06f11076d8f933c6798,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
0fb9090194754cb9a791f3a7382825e18f04c9db,1 a 2 horas,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
c05344507305db71202443d2112424162cad585d,5 a 6 horas,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
d03f1f7d02fe80f24d75e47f04aaad0dba1e99d3,1 a 2 horas,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
0c8c7efda2f9840711171850e229ba4544bba75a,5 a 6 horas,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
57affe65d0f8eb73aa93b379ba78cce8949b5fc8,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
4183c03af402c9e124a45c5f6f4a8b087d142c39,3 a 4 horass,N/C,N/C,N/C,N/C,5,Excelente,2,Regular
d4819c32ffb3528bf6538eec3a1d48f99396c45d,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
0bbc485678821e2c40323bc1307546d6c6fa2028,1 a 2 horas,N/C,N/C,N/C,N/C,1,Poca,2,Regular
ae5793b11bc00c896c6857552f0f56ebb60063f8,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
40e6b9fe347ce8d40bb6d982273824f3f8e000b8,3 a 4 horass,N/C,N/C,N/C,N/C,1,Poca,5,Excelente
761876e9c4da188df3798caa2ad9d9737b307aa6,3 a 4 horass,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
cd938d395860b591b9730d6b60ca0b5059b2a935,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
810e5d5eb43926186db4ea498ff26aa76ab0233f,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
7539f61b25d0e176fc3352a99f7af67221813964,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
72e30144e0cd4877e73fdc034038afe87ac7fa47,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
a3db707b080b84f1988fd46fa008543c6d7d2042,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
