path_to_item	Completed	Started
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Sexualidad y bienestar	13903	15098
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Hablar acerca de la sexualidad	11895	13775
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Respondiendo a la curiosidad infantil	11767	12692
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Reglas de oro para abrir canales de comunicación sobre la sexualidad desde la  infancia	11647	12508
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Para terminar...	11549	12388
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Preguntas frecuentes sobre comportamientos sexuales infantiles	11754	9733
Me atrevo a conversar sobre sexualidad>Yo genero oportunidades de bienestar>Propicio oportunidades de bienestar	14157	14661
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>Para terminar	10963	12996
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>Actividad: ¿Qué aprendimos en el módulo 5?	11418	9337
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>¿Tienes dudas acerca de la sexualidad que no resolvimos en el curso?	11092	9006
Me atrevo a conversar sobre sexualidad>Conclusión: Me siento capaz de conversar sobre sexualidad>Nuestras fuentes bibliográficas	10643	9048
